type,.prediction,.lower,.upper,.width,.point,.interval
Posterior,517.6093020169776,302.1525152179421,873.491483835701,0.95,median,qi
Posterior (flat priors),517.6093020169776,302.1525152179421,873.491483835701,0.95,median,qi
Prior,339.1472562826219,48.101416050532855,2348.593119019809,0.95,median,qi
