type,series,date_numeric,.median_slope,.lower_slope,.upper_slope,.median_smooth,.lower_smooth,.upper_smooth,min,max
nonseasonal,Study 1.a,-88.52254609218436,-0.001871502032499417,-0.004937186369912554,6.630029496353792e-4,0.3014549170810629,-0.12665734647894336,0.8323869901521692,-91,105
nonseasonal,Study 1.a,-85.36022144288584,-0.0018775151875149998,-0.004891267775996438,6.233395859953771e-4,0.2962129768357561,-0.13149289439273498,0.826609947789589,-91,105
nonseasonal,Study 1.a,-82.19789679358722,-0.0018816029557777725,-0.004839689729576463,5.742643252787384e-4,0.29035359212682055,-0.13690135373491558,0.815328281212456,-91,105
nonseasonal,Study 1.a,-79.0355721442886,-0.0018836591480775322,-0.004792494553973459,5.473808175272126e-4,0.28470457560387663,-0.14358003131965924,0.809401185627299,-91,105
nonseasonal,Study 1.a,-75.87324749499008,-0.0018899639191993778,-0.004766537200487364,5.102737317085731e-4,0.278255220304527,-0.14593966479210874,0.8036115538994782,-91,105
nonseasonal,Study 1.a,-72.71092284569146,-0.0018866639321657441,-0.004727801473014548,4.6198115290357704e-4,0.27241134479733553,-0.1542419725670625,0.7980465685522392,-91,105
nonseasonal,Study 1.a,-69.54859819639283,-0.001889083037720507,-0.004674973460194742,4.5103304747023775e-4,0.266325593128617,-0.16037935902906877,0.7928720842927418,-91,105
nonseasonal,Study 1.a,-66.3862735470942,-0.0018870975398051215,-0.004629119340873732,4.1825517024147833e-4,0.26008766881436457,-0.16686777800903685,0.7836260265186075,-91,105
nonseasonal,Study 1.a,-63.22394889779558,-0.0018880100900592334,-0.004580805324659598,3.899927543189738e-4,0.2539883483347899,-0.17010073482749916,0.776244092786964,-91,105
nonseasonal,Study 1.a,-60.06162424849707,-0.0018905958604487072,-0.0045100533679579,3.7045784709119887e-4,0.24851799066686153,-0.17636798060524558,0.7709209506104119,-91,105
nonseasonal,Study 1.a,-56.89929959919844,-0.0018872648654272295,-0.004457259354997967,3.378955984008153e-4,0.24217209475428436,-0.18153018739982432,0.7614166149026947,-91,105
nonseasonal,Study 1.a,-53.73697494989982,-0.0018879807967830953,-0.004431168521518841,3.128119853826327e-4,0.23578202914020674,-0.18651294000744095,0.7548568370044537,-91,105
nonseasonal,Study 1.a,-50.574650300601306,-0.0018859170574439532,-0.004386863314467804,2.8572855414743384e-4,0.22990858537560543,-0.18865451584705425,0.7532985304578147,-91,105
nonseasonal,Study 1.a,-47.41232565130268,-0.001889518154968295,-0.004334679843748246,2.6365116925688233e-4,0.22414331977721497,-0.19516350130526183,0.7467799015696707,-91,105
nonseasonal,Study 1.a,-44.250001002004055,-0.0018930038553736928,-0.004307644191198223,2.3872074353531336e-4,0.21840923187902278,-0.20055232607127008,0.738138198240911,-91,105
nonseasonal,Study 1.a,-41.08767635270543,-0.0018864500579973686,-0.004266865105402584,2.138322871769728e-4,0.21232804585487028,-0.20751150495796764,0.7305941226017659,-91,105
nonseasonal,Study 1.a,-37.925351703406804,-0.0018896751386443533,-0.004231706575220234,2.014080682580233e-4,0.20612729221735351,-0.21241704814378995,0.7227367164469009,-91,105
nonseasonal,Study 1.a,-34.76302705410829,-0.0018925854294721267,-0.004185623680474926,1.7461430740286994e-4,0.20002398155788423,-0.2193668021560643,0.7147943274786305,-91,105
nonseasonal,Study 1.a,-31.600702404809667,-0.0018936977910360975,-0.00414246297983506,1.7210596363701573e-4,0.19393870960303156,-0.22661915933730672,0.7051693634727604,-91,105
