# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=2147
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=/scratch/btrueman/bgamcar1-test/models/model-seasonal-diss_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,bs.2,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,zs_12_1.1,zs_12_1.2,zs_12_1.3,zs_12_1.4,zs_12_1.5,zs_12_1.6,zs_12_1.7,zs_12_1.8,sds_12.1,zs_13_1.1,zs_13_1.2,zs_13_1.3,zs_13_1.4,zs_13_1.5,zs_13_1.6,zs_13_1.7,zs_13_1.8,sds_13.1,zs_14_1.1,zs_14_1.2,zs_14_1.3,zs_14_1.4,zs_14_1.5,zs_14_1.6,zs_14_1.7,zs_14_1.8,sds_14.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,z_1.1.10,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,s_12_1.1,s_12_1.2,s_12_1.3,s_12_1.4,s_12_1.5,s_12_1.6,s_12_1.7,s_12_1.8,s_13_1.1,s_13_1.2,s_13_1.3,s_13_1.4,s_13_1.5,s_13_1.6,s_13_1.7,s_13_1.8,s_14_1.1,s_14_1.2,s_14_1.3,s_14_1.4,s_14_1.5,s_14_1.6,s_14_1.7,s_14_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.00937938
# Diagonal elements of inverse mass matrix:
# 0.0371735, 8.00564, 6.91603, 0.438291, 0.0735306, 0.117353, 0.0465297, 0.671865, 0.827213, 0.30932, 0.29187, 0.0768833, 0.867517, 0.400346, 0.291808, 0.170143, 0.648538, 0.940957, 0.588113, 0.536794, 0.156699, 0.511524, 0.0873549, 0.297993, 0.428043, 0.26255, 0.368304, 0.20789, 0.24117, 0.0938575, 0.453593, 0.090587, 0.278902, 0.48662, 0.232556, 0.351475, 0.176779, 0.221714, 0.100447, 0.613424, 0.368038, 0.662514, 0.611973, 0.851983, 0.731729, 0.825982, 0.845016, 1.24706, 0.561004, 0.425478, 0.711421, 0.664127, 0.985563, 0.701118, 0.826344, 0.819115, 1.61746, 0.419511, 0.436895, 0.545664, 0.486648, 0.801599, 0.57042, 0.751757, 0.792593, 0.629336, 0.19148, 0.176657, 0.277887, 0.257915, 0.499698, 0.419177, 0.571302, 0.525767, 0.405386, 0.439068, 0.230532, 0.27934, 0.279113, 0.361333, 0.370153, 0.460869, 0.38527, 0.157308, 0.878309, 0.763519, 0.720666, 0.84972, 0.691159, 0.769138, 0.766562, 0.794257, 1.14946, 0.540426, 0.236725, 0.315257, 0.273082, 0.285551, 0.34254, 0.304763, 0.341702, 0.1235, 0.642567, 0.41058, 0.455612, 0.406506, 0.517524, 0.586816, 0.533341, 0.516608, 0.569588, 0.038944, 0.112158, 0.186411, 0.0321256, 0.104088, 0.061394, 0.233588, 0.162574, 0.091919, 0.0534964, 0.132788, 0.199094, 0.0583038, 0.229423, 0.156471, 0.330155, 0.419897, 0.110193, 0.0315456, 0.00290657, 0.0335951, 0.101714, 0.410714, 0.372431, 0.10488, 0.106186, 0.109443, 0.103879, 0.150308, 0.104205, 0.253633, 0.187777
-211.127,0.938355,0.00937938,9,511,0,285.035,0.195932,-6.90831,-1.43863,-1.01564,-0.0283072,-0.887865,-0.283258,0.0251183,0.100475,-1.12258,1.02905,5.47818,-0.888586,0.232671,0.879061,-0.102429,-1.16315,1.01858,0.489584,0.998788,3.23603,0.458384,0.163197,-0.0350136,1.48638,-0.21572,-0.4989,-0.879947,-0.675243,1.97294,-1.49497,-0.856722,0.359541,0.78197,-0.983368,-0.381246,-0.666091,0.271435,1.63951,0.194454,0.876426,0.355629,-1.59596,-1.51095,-0.940161,-0.26425,1.3279,0.0116215,0.492093,-0.763903,0.698226,-0.0254539,0.130482,1.78535,1.09124,-0.744863,0.0430713,-0.25498,-0.473522,-1.58909,-1.15552,1.59525,0.712883,-0.00914801,-0.432572,0.374861,-0.205081,-0.583291,0.214003,-0.458405,2.0584,0.701077,-1.07385,-0.250084,0.589298,-2.01283,1.05756,-0.287843,0.308111,0.710807,0.147398,0.770055,1.35924,0.343519,-1.57271,-0.548788,0.233642,-0.773385,0.388461,0.297343,-0.185703,1.78182,0.199541,1.45486,-1.29855,-0.0292203,0.921144,0.775425,0.870832,-0.479234,0.129297,0.58743,0.26775,-0.674547,1.08401,0.65257,0.509169,-0.941363,1.31513,-0.119595,0.358331,0.41825,-1.51581,1.33645,0.418769,-0.852265,0.360232,-2.60961,-0.448589,0.116222,-0.157098,-1.29866,1.01656,-0.515102,-1.07304,-1.25664,-0.00839279,-1.10297,0.0909803,0.166362,0.128415,1.71602,0.651854,1.57675,0.599756,-0.476754,-0.281847,-0.244616,-0.50213,0.0805762,-0.582727,-1.3085,-1.19357,-5.56388,-0.155072,-4.86388,-1.55174,0.137603,0.550421,-6.14967,5.63733,-2.87549,0.752931,2.84467,-0.331464,-3.76399,3.29614,1.58431,3.23211,0.904364,0.321977,-0.0690797,2.93253,-0.425603,-0.9843,-1.73608,-1.33221,-2.45101,-1.4046,0.589469,1.28205,-1.61224,-0.625056,-1.09206,0.445019,0.00225985,0.0101854,0.00413295,-0.0185474,-0.0175595,-0.0109261,-0.00307099,0.0154322,0.0211951,-0.0329023,0.0300735,-0.00109633,0.00562004,0.0768972,0.0470011,-0.0320822,-0.0955821,-0.177505,-0.595687,-0.433161,0.597997,0.267232,-0.00342923,-0.162154,-0.120854,-0.343732,0.126111,-0.270137,1.21301,0.413143,-0.632817,-0.147374,-0.691447,0.363292,-0.0988797,0.105842,0.244176,0.050634,0.264529,0.466925,-0.31382,-0.109506,0.046621,-0.154322,0.0775138,0.0593319,-0.0370553,0.355545,0.854626,-0.762807,-0.0171648,0.541107,0.455508,0.511553,-0.281516,0.0759532,0.0959432,-0.241711,0.388434,0.233836,0.182451,-0.33732,0.471254,-0.0428545,0.04861,-0.17617,0.155325,0.0486703,-0.0990521,0.041867,-0.303294,-0.052136,-0.0142928,-0.118152,0.0924869,-0.0468641,-0.0976255,-0.11433,-0.000763578,-0.100349,1.02781,0.390953,-0.310774,-0.183723,-0.159454,-0.327316,0.0525239,-0.379853,-0.852949,-0.778036,-30.3343,0.195932
-225.459,0.995172,0.00937938,9,511,0,280.543,-0.0810408,-3.00939,2.30538,-2.94787,0.304128,-1.86811,-1.13996,2.31831,-0.844054,-1.20158,1.87226,2.11602,-0.20301,1.19647,1.35293,0.0924414,0.96686,-1.47901,0.0485953,0.68621,2.52552,-0.0433845,-0.323246,1.10231,1.82818,-0.888979,-0.662936,-1.19647,-0.837009,1.19257,-1.27031,-0.833114,0.591644,0.968874,-0.676851,-0.395323,-0.806251,0.172492,1.77132,-0.451247,0.215806,-0.136247,1.68937,0.776668,1.04852,0.667293,-0.976029,0.0199682,-0.990024,1.10778,0.151826,0.589722,-0.691515,-2.13317,0.373817,0.540157,0.0674292,-0.37595,-0.750614,-0.92863,-0.311481,-0.0554983,-2.17725,-0.893807,-0.258193,0.216724,-0.653918,-0.725352,0.91801,0.193478,1.80417,-0.427878,0.24638,-0.343571,0.434344,0.446589,1.34728,-0.142397,1.06098,-1.19408,0.167722,-0.439664,1.20329,0.422835,1.66827,1.01236,-0.493787,0.167204,-0.0736379,0.187421,0.175037,-1.81386,0.0521027,1.01484,-1.63367,-1.53486,-0.440372,0.29796,0.112856,-0.124871,-0.678101,0.49433,1.00196,-0.910013,0.303279,-0.130831,-1.1184,-1.15949,-0.116903,-0.339965,0.336756,0.234628,-1.04795,1.35868,0.588869,-1.20895,-0.52167,-0.504428,0.978608,0.147694,0.148531,-0.661063,1.65395,-0.225,-1.30692,-0.61442,0.172629,0.240596,0.0888797,0.128247,0.180186,3.30548,0.492602,1.72393,1.21909,0.00304828,0.167365,0.13536,-0.0669285,0.506805,-0.343463,-1.60324,-1.32944,-6.23776,0.643542,-3.95295,-2.41217,4.90559,-1.78604,-2.54256,3.96174,-0.512707,3.02171,3.41685,0.233463,2.44183,-3.73527,0.122728,1.73304,-0.051739,-0.385493,1.31458,2.18023,-1.06017,-0.790596,-1.42688,-0.99819,-2.25013,-1.47572,1.04799,1.71619,-1.19892,-0.700245,-1.42813,0.30554,-0.00901059,0.00430925,-0.00272061,0.0337336,0.0155087,0.020937,0.0133246,-0.0194895,-0.0667565,0.0746967,0.0102375,0.0397644,-0.0466283,-0.143838,0.0252062,0.0364223,-0.0814774,-0.162676,-0.201256,-0.0675055,-0.0120278,-0.471863,-0.19371,-0.0559567,-0.284025,-0.315052,0.398732,0.084036,0.783632,-0.185846,0.107014,-0.149228,0.188833,0.569676,-0.0602103,0.448618,-0.5049,0.0709189,-0.185905,0.508792,0.0869215,0.0527465,-0.0257276,0.00871176,-0.00383673,0.00976513,0.00911988,-0.094507,0.501667,-0.807573,-0.758725,-0.217689,0.147291,0.0557882,-0.0617273,-0.335206,0.337416,-0.306452,0.102131,-0.0440582,-0.376628,-0.390464,-0.0393677,-0.114485,0.0346531,-0.154776,0.200668,0.0869722,-0.178554,-0.0770475,-0.0745009,0.144534,0.0132014,-0.0587551,0.147003,-0.0199979,-0.116159,-0.0546095,0.0153432,0.0213841,0.849209,0.600525,0.00150159,0.0824441,0.0666783,-0.0329691,0.249653,-0.169191,-0.789757,-0.654883,-27.2256,-0.0810408
-214.629,0.995701,0.00937938,9,511,0,300.528,-0.0753648,-4.38006,0.107523,-3.17041,0.289166,-1.66841,-1.17706,1.77608,0.204954,-0.623653,2.25409,2.34202,-0.192729,1.52515,1.15199,0.201046,1.40883,-1.934,-0.723023,0.263562,2.13451,-0.0204112,-0.00318181,0.461595,1.39204,-0.967111,-0.711221,-1.32533,-0.469556,1.57684,-0.811608,-0.517623,0.385467,0.929847,-1.08469,-0.969411,-0.792015,0.384661,1.7994,0.227005,0.535119,0.460284,0.881308,-0.0802533,1.19335,0.514924,-0.54766,0.199693,-1.16479,1.15929,-0.169041,0.901892,-0.394542,-1.96587,1.44413,-0.189723,0.113206,-1.47116,-0.930598,-1.91579,-0.928362,1.3438,-1.58703,-1.97969,-0.377819,0.153519,-0.788069,-0.747595,0.0144119,0.00795189,2.1362,-0.377666,-0.214747,-1.58112,0.390713,0.756804,1.82823,0.853254,0.785951,-0.672813,0.211921,-0.317721,1.05283,0.298862,0.411799,1.05961,-0.479349,0.0805354,-0.227999,0.283829,1.30732,-1.37892,0.0927294,0.70351,-1.88548,-1.26156,-0.135263,0.258056,0.0138087,-0.160279,-1.2012,0.456262,1.20299,-0.943633,-0.165789,-0.37183,-0.899864,-1.28894,-0.434641,-0.233442,0.302254,0.17949,-1.26083,1.37646,0.583034,-1.09367,-0.460551,-0.869431,0.869954,0.133907,0.191413,-0.343826,1.12321,0.0156762,-0.965975,-0.559094,-0.0189338,-0.0328546,0.151365,0.146615,0.164491,2.96482,0.653698,1.42713,1.35433,-0.101648,0.171087,0.107701,-0.100706,0.259462,-0.346298,-1.26682,-1.11918,-7.42515,0.677231,-3.90745,-2.7567,4.1596,0.480005,-1.4606,5.27912,-0.411383,3.25545,2.45893,0.429135,3.00716,-4.12814,-1.5433,0.562577,-0.0321852,-0.00501721,0.727862,2.19503,-1.52498,-1.12148,-2.08984,-0.740416,-1.46041,-0.93141,0.693609,1.67317,-1.95179,-1.74436,-1.42515,0.69216,0.0453314,0.106859,0.0919154,0.175991,-0.016026,0.238304,0.102827,-0.109364,-0.131861,0.131239,-0.0191365,0.1021,-0.0446647,-0.222549,0.163485,-0.0214779,-0.22585,-0.142864,-0.29411,-0.142521,0.206299,-0.243639,-0.303919,-0.0580022,-0.307909,-0.292095,0.00563091,0.00310691,0.834643,-0.147559,-0.0839046,-0.617765,0.22618,0.54639,0.255005,0.234891,-0.201078,0.0633351,-0.0949548,0.31465,0.0381859,0.0982573,-0.0444497,0.007468,-0.0211422,0.0263193,0.121227,-0.127866,0.320985,-0.860274,-0.575602,-0.0617154,0.117741,0.00630038,-0.0731292,-0.548061,0.363609,-0.285216,-0.0501102,-0.112387,-0.271987,-0.389588,-0.131372,-0.0705586,0.024035,-0.168835,0.184318,0.0780726,-0.14645,-0.0616711,-0.116423,0.116493,0.0289731,-0.0520431,0.170014,0.00237283,-0.146214,-0.084627,-0.00286591,-0.00497301,0.932913,0.885321,-0.0664471,0.111839,0.070404,-0.0658315,0.16961,-0.226374,-0.828117,-0.731602,-27.2517,-0.0753648
-206.49,0.956189,0.00937938,9,511,0,287.802,-0.186667,-1.1393,-1.29661,-0.646792,0.10424,-0.406431,-0.275161,0.601913,-0.298333,-0.415963,0.468524,8.4874,-0.210144,0.899184,1.3002,-0.661595,-0.519603,2.41583,1.74759,1.91853,2.50439,-1.44541,-0.659319,-0.0409862,0.1584,-1.22538,-0.914844,-1.17636,-0.758664,1.93572,-1.61373,-0.875811,-0.152463,1.92495,-1.07891,-1.79551,-0.835197,-0.353306,1.01068,-0.014906,0.199031,-0.105018,-1.1502,-0.15351,-1.13643,-0.27087,0.378368,0.0277589,0.308728,-0.240268,1.35412,-1.07294,-0.96525,1.57641,0.134624,0.0139899,0.0805744,-0.27337,-0.691794,-1.19774,-0.749351,-0.0384506,0.149404,0.144607,0.201942,0.298639,-0.494681,-0.919685,-0.663705,-0.381541,0.998765,0.580367,-0.17821,-0.852538,0.394588,-2.2325,1.57611,-1.41821,0.0307465,-0.462374,1.25476,2.06131,1.01073,0.141593,-1.13518,-1.20388,0.178482,-0.0834437,0.156164,0.976024,-0.786922,1.09546,0.165392,0.763186,-2.00211,-0.725595,0.0795259,0.410383,0.209174,-0.0753255,-0.00958594,0.522009,1.77328,-1.86811,-0.0544346,1.12061,-0.18072,-0.679983,0.672579,-0.496964,0.237853,0.248748,-1.0604,1.32002,0.500425,-0.688191,0.402024,-1.54616,-0.351967,0.133664,-0.76659,-1.28797,1.2234,-0.567456,-0.966086,-1.50879,0.31471,-1.17764,0.0755144,0.145571,0.14146,2.14452,0.446407,1.13272,2.42786,0.170415,0.280477,0.336767,-0.014212,1.01296,0.180498,-1.21663,-0.823552,-5.48958,0.884727,-3.44954,-2.3354,5.10868,-2.53207,-3.53044,3.97655,-0.526282,2.25191,3.25621,-1.65689,-1.30129,6.05019,4.37664,4.80475,-2.79791,-1.27626,-0.0793378,0.306617,-2.37199,-1.77088,-2.2771,-1.46856,-1.63096,-0.885165,-0.154092,1.94551,-1.09043,-1.81468,-0.844117,-0.35708,-0.000413775,0.00552489,-0.00291519,-0.0319283,-0.00426128,-0.0315462,-0.00751907,0.0105031,0.0248756,-0.0193594,0.109108,-0.0864512,-0.0777744,0.127018,0.0108472,0.00112723,-0.0816389,-0.206596,-0.357693,-0.223785,-0.0114828,0.0446177,0.0431853,0.0603076,-0.195195,-0.362896,-0.26189,-0.150551,0.3941,0.229006,-0.0703195,-0.336401,-0.316107,0.223167,-0.200809,0.00435351,-0.0654691,0.177665,0.291868,0.143112,-0.187749,-0.199113,0.0295195,-0.0138009,0.0258283,0.161427,-0.130151,0.181181,0.39839,-1.04512,-0.378767,0.0415132,0.214223,0.109191,-0.0393206,-0.00500394,0.421779,-0.444335,-0.0129474,0.266542,-0.0429847,-0.161736,0.159975,-0.118205,0.0332487,-0.141738,0.17644,0.0668889,-0.0919866,0.0537362,-0.206666,-0.0470455,-0.0578885,-0.0972604,0.0923841,-0.0428511,-0.0729534,-0.113936,0.0237651,-0.088929,0.505656,1.08382,0.0760746,0.125207,0.150335,-0.00634435,0.452193,0.0805757,-0.543111,-0.36764,-28.6991,-0.186667
-216.184,0.831731,0.00937938,9,511,0,288.591,-0.286516,-4.95946,-1.76662,-1.06272,0.285317,-0.758573,-0.288767,0.565122,-1.04536,-0.0546506,0.85266,5.9728,-0.291801,0.421547,0.928263,-0.121958,-0.80057,1.42543,0.481546,0.765135,2.92824,-0.34502,-0.18782,-0.0935668,0.720469,-0.863376,-0.447928,-1.72853,0.0216911,2.34894,-0.957455,-0.555729,-0.190171,1.64888,-1.06336,-1.17235,-1.4657,-0.160328,1.46797,-1.05145,-1.06505,-0.0718034,-0.307604,-0.914597,-0.600907,-0.926789,-0.442555,0.00610403,-0.419409,-1.12974,0.627084,-1.32136,1.09482,1.19838,-0.917794,0.221138,0.0726088,-0.233839,-0.776043,-1.98239,-1.27076,0.520002,-0.077741,0.0481389,0.325718,0.274866,-0.50208,-0.84258,0.118662,-0.0824356,2.2338,0.145361,-0.197201,-0.622527,0.495252,-1.57693,0.569884,-0.490578,-0.00276508,-0.735477,1.35295,1.49069,2.49683,0.255303,0.92126,-0.797246,2.40452,1.41725,-0.20612,0.99147,-0.330808,1.48915,0.0988198,1.87123,-1.59618,-0.0800135,0.566146,0.439875,0.799374,0.231376,0.344963,0.57871,1.65777,-2.25389,1.57806,1.80271,0.676658,-1.37468,-0.427615,0.500852,0.177342,0.380927,-0.978768,1.45185,0.307307,-0.518904,0.284516,-1.76315,-0.342902,0.151044,-0.36957,-1.46637,1.93479,-0.63552,-1.97592,-1.27325,0.407846,-0.753667,0.0743489,0.146746,0.147404,2.18107,0.605516,1.79143,2.07885,0.340496,0.421226,0.482992,0.298336,0.852655,0.18333,-0.580244,-0.576882,-6.34742,1.70414,-4.53081,-1.72475,3.37536,-6.24374,-0.326417,5.09277,-0.854462,1.23439,2.71818,-0.357123,-2.34426,4.17399,1.41008,2.2405,-0.81043,-0.441177,-0.219783,1.69234,-2.02802,-1.05216,-4.0602,0.050951,-1.40551,-0.815791,-0.279164,2.4205,-1.56097,-1.72098,-2.15159,-0.235356,-0.00641811,-0.00650113,-0.00043829,-0.00187763,-0.00558273,-0.00366796,-0.00565715,-0.00270137,-0.0304528,-0.0820293,0.0455319,-0.0959426,0.0794932,0.0870129,-0.0666399,0.0160565,-0.0642744,-0.213308,-0.544891,-0.349288,0.142931,-0.0213684,0.0132317,0.0895289,-0.248656,-0.417289,0.0587674,-0.0408264,1.10629,0.0719903,-0.0976642,-0.308308,-0.402596,0.145493,-0.125246,-0.000705933,-0.187769,0.345412,0.380579,0.637447,0.0910387,-0.0787837,0.237614,0.140052,-0.0203687,0.0979769,-0.0326904,0.147158,1.0829,-0.923725,-0.0463046,0.327634,0.25456,0.462606,0.1339,0.199633,0.293992,-0.39971,0.279857,0.319697,0.12,-0.243789,-0.0758343,0.0888224,0.0575368,-0.147837,0.219294,0.046417,-0.0783774,0.0429746,-0.266314,-0.0517935,-0.0274771,-0.109023,0.143849,-0.0472503,-0.146908,-0.094665,0.0303229,-0.0560343,1.08474,1.25878,0.206176,0.255059,0.292459,0.180647,0.516296,0.111009,-0.351347,-0.349311,-29.837,-0.286516
-212.344,0.925812,0.00937938,9,511,0,281.704,-0.102004,-0.365148,2.00747,-1.22215,-0.0363897,-0.54135,-0.639173,1.62939,0.860108,-0.0667047,0.913537,6.18163,0.225992,1.72666,2.11985,-0.192739,0.919996,-1.21328,0.342061,1.02042,1.7694,-0.985915,-0.722763,1.08227,0.478599,-1.57769,-0.196572,-1.48749,0.373538,2.1204,-0.552572,-0.509213,0.937752,0.945227,-0.62465,-0.38788,-0.711577,0.1409,2.43761,0.63184,0.876139,0.684504,0.208409,1.08469,0.848257,1.32493,0.880477,0.0847459,-1.32832,-0.194935,0.884085,0.885825,-2.16024,-1.73775,1.37765,-0.423374,0.16821,-0.398895,-0.675993,0.628119,-0.151274,1.07951,-0.466564,-0.761826,-0.657851,0.348919,-0.166011,-0.457289,0.965303,0.288619,1.13522,0.201853,-0.467808,-0.895914,0.889535,1.04599,1.65814,0.329202,0.982815,-0.664141,1.69423,0.189966,0.298164,0.403065,-2.78466,1.0923,-0.918509,-2.10386,0.647436,0.251183,0.342176,-1.12037,0.138001,1.23999,-1.55158,-0.664373,-0.11303,-0.00374392,0.762214,-0.168636,-0.309342,0.545938,0.101715,-0.724744,-0.603611,-0.783325,-1.97355,-0.452089,0.488591,-1.0796,0.293088,-0.0421867,-0.886625,1.27519,0.484701,-0.916111,-0.247305,-0.546656,0.959896,0.16175,-0.0139091,-0.475937,1.17165,-0.276175,-0.641951,-0.403557,-0.632091,-0.0929162,0.120799,0.159038,0.160622,2.41576,0.366536,0.877896,2.15697,-0.0424905,0.275077,0.191789,-0.060311,0.935018,-0.420525,-1.79856,-1.58007,-7.5549,-0.224947,-3.34643,-3.95113,10.0723,5.31687,-0.412343,5.64715,0.399871,3.05515,3.75087,-0.341032,1.62784,-2.14677,0.605243,1.80554,-2.09053,-1.53254,2.29484,1.01482,-3.34533,-0.416811,-3.15406,0.792049,-1.34695,-1.24126,2.28587,2.30409,-1.52265,-0.945499,-1.73455,0.34346,0.0535458,0.0742492,0.0580089,0.0176618,0.0919228,0.0718863,0.112283,0.0746169,-0.223438,-0.03279,0.148712,0.149005,-0.363375,-0.292307,0.231734,-0.0712158,-0.139182,-0.235867,0.219162,-0.0527824,0.376663,-0.162793,-0.265815,-0.229537,-0.147673,-0.406775,0.85867,0.256737,1.00981,0.179555,-0.416131,-0.796947,0.421601,0.668336,0.13269,0.396138,-0.267692,0.682884,0.0765685,0.120179,-0.384286,0.150738,-0.126755,-0.290335,0.0893468,0.0346634,0.0472207,-0.154613,0.676959,-0.847067,-0.362706,-0.0617072,-0.00204395,0.416122,-0.092065,-0.168882,0.0298114,-0.212414,-0.176911,-0.229583,-0.578425,-0.132502,0.1432,-0.316419,-0.0068237,-0.143411,0.206262,0.0784003,-0.148181,-0.0400016,-0.0884215,0.155263,-0.00168021,-0.0574927,0.141534,-0.0333616,-0.077547,-0.0487493,-0.0763559,-0.0112242,0.32178,0.790604,-0.0155743,0.100825,0.0702976,-0.0221061,0.342717,-0.154137,-0.659237,-0.579151,-28.1645,-0.102004
